,time,x
885,3.54,48.34744262600003
886,3.544,45.43850708000002
887,3.548,42.354400634
888,3.552,39.14654540999999
889,3.556,35.877716064000026
890,3.56,32.483947752999995
891,3.564,28.956268309999984
892,3.568,25.34695434500003
893,3.572,21.605621337000002
894,3.576,17.79513549799998
895,3.58,13.861450195000032
896,3.584,9.893341064000026
897,3.588,5.857360839000023
898,3.592,1.7346496580000235
899,3.596,-2.3716430669999795
900,3.6,-6.491760253999985
901,3.604,-10.793395997000005
902,3.608,-15.09518432699997
903,3.612,-19.439041137999993
904,3.616,-23.849334717000005
905,3.62,-28.113128662999998
906,3.624,-32.2449646
907,3.628,-36.193328858
908,3.632,-40.03587341400001
909,3.636,-43.76939392099999
910,3.64,-47.363891601999995
911,3.644,-50.904296875
912,3.648,-54.32566833499999
913,3.652,-57.585540772
914,3.656,-60.69689941499999
915,3.66,-63.607482911000005
916,3.664,-66.30284118699998
917,3.668,-68.78706359899999
918,3.672,-71.142791749
919,3.676,-73.37852478099998
920,3.68,-75.49468994200001
921,3.684,-77.488693238
922,3.688,-79.36384582599999
923,3.692,-81.062301636
924,3.696,-82.58493042
925,3.7,-83.967300416
926,3.704,-85.212036133
927,3.708,-86.582092286
928,3.712,-87.970260621
929,3.716,-89.182098389
930,3.72,-90.118286133
931,3.724,-90.78675842299998
932,3.728,-91.20291137699999
933,3.732,-91.43843078699999
934,3.736,-91.57476806700001
935,3.74,-91.57063293499999
936,3.744,-91.49055480999999
937,3.748,-91.270629883
938,3.752,-90.87808227599999
939,3.756,-90.29006958099998
940,3.76,-89.53164672899999
941,3.764,-88.60858154299999
942,3.768,-87.550994874
943,3.772,-86.43472290099999
944,3.776,-85.327194214
945,3.78,-84.157424927
946,3.784,-82.919998169
947,3.788,-81.579071045
948,3.792,-80.091201783
949,3.796,-78.46795654299999
950,3.8,-76.73841858
951,3.804,-75.00498962500001
952,3.808,-73.10733032299999
953,3.812,-70.775680542
954,3.816,-68.199630738
955,3.82,-65.42092895599998
956,3.824,-62.392349244
957,3.828,-59.17510986400001
958,3.832,-55.784179687999995
959,3.836,-52.227188111000004
960,3.84,-48.559234619999984
961,3.844,-44.74769592299998
962,3.848,-40.78892517099999
963,3.852,-36.752410889000004
964,3.856,-32.65647888199999
965,3.86,-28.465744019
966,3.864,-24.266082764000004
967,3.868,-20.025711059999992
968,3.872,-15.80218505900001
969,3.876,-11.551177978999988
970,3.88,-7.3674926759999835
971,3.884,-3.2097167969999987
972,3.888,0.9119567870000083
973,3.892,4.990936278999982
974,3.896,9.001617431
975,3.9,12.973449706999986
976,3.904,16.901550292000024
